payment_id,order_id,payment_date,amount,method
79,79,1/6/2024,168,Credit Card
80,80,9/17/2024,3832.4,Credit Card
81,81,10/1/2024,1052.58,Bank Transfer
82,82,11/23/2024,3759.7,Bank Transfer
83,83,8/30/2024,408.7,Credit Card
84,84,8/29/2024,53.85,Credit Card
85,85,1/27/2024,2875.74,Credit Card
86,86,7/21/2024,4952.6,Bank Transfer
87,87,9/25/2024,2400.57,Bank Transfer
88,88,11/30/2024,227.58,Credit Card
89,89,1/20/2024,2129.1,Credit Card
90,90,5/29/2024,1503.88,PayPal
91,91,9/28/2024,194.96,Credit Card
92,92,10/22/2023,403.65,Credit Card
93,93,11/13/2024,2600.4,Credit Card
94,94,2/7/2024,1455.92,Credit Card
95,95,4/24/2023,1489.6,Bank Transfer
96,96,10/31/2023,2757.96,PayPal
97,97,6/17/2024,1167.2,PayPal
98,98,11/24/2024,438.12,PayPal
99,99,8/12/2024,272.46,Bank Transfer
100,100,4/26/2024,2383.4,Bank Transfer
101,101,8/20/2024,1337.37,Credit Card
102,102,6/16/2024,3273.27,Credit Card
103,103,9/1/2024,1487,PayPal
104,104,1/8/2024,3036.96,Bank Transfer
105,105,7/3/2024,4311.45,Credit Card
106,106,7/24/2024,4090.05,PayPal
107,107,12/1/2024,1403.44,PayPal
108,108,9/2/2024,1870.44,Bank Transfer
109,109,9/23/2024,866.8,PayPal
110,110,6/16/2024,327.87,Bank Transfer
111,111,5/17/2024,748.26,PayPal
112,112,10/26/2024,171.83,Bank Transfer
113,113,7/23/2023,303.93,Bank Transfer
114,114,11/27/2023,2420.28,Bank Transfer
115,115,6/18/2024,361.26,PayPal
116,116,7/6/2024,84,Credit Card
117,117,12/1/2023,618.66,PayPal
118,118,11/5/2024,3187.87,Credit Card
119,119,6/10/2023,743.5,PayPal
120,120,9/22/2023,2234.4,Credit Card
121,121,6/8/2024,4790.5,Bank Transfer
122,122,10/4/2024,1104.39,PayPal
123,123,8/22/2023,339.01,Credit Card
124,124,4/19/2024,314.32,Bank Transfer
125,125,7/30/2024,1446,PayPal
126,126,1/13/2024,837.95,PayPal
127,127,8/7/2024,100.18,PayPal
128,128,9/24/2024,2674.74,Credit Card
129,129,11/24/2024,696.33,PayPal
130,130,4/18/2023,1496.52,Bank Transfer
131,131,11/4/2024,820.19,Credit Card
132,132,10/7/2023,1421.28,Bank Transfer
133,133,3/31/2023,179.5,Bank Transfer
134,134,12/7/2023,1095.42,Bank Transfer
135,135,11/26/2024,154.74,Credit Card
136,136,11/17/2024,3645.4,PayPal
137,137,10/11/2024,876.24,PayPal
138,138,12/4/2023,805.65,PayPal
139,139,11/15/2024,424.52,Credit Card
140,140,10/30/2024,2043.5,Credit Card
141,141,11/21/2024,2600.4,Bank Transfer
142,142,7/30/2024,106.13,PayPal
143,143,11/6/2024,198.1,Credit Card
144,144,11/10/2024,561.8,Bank Transfer
145,145,11/20/2024,232.1,PayPal
146,146,10/17/2024,1546.4,Credit Card
147,147,9/16/2024,502.77,Credit Card
148,148,5/31/2024,166.91,PayPal
149,149,11/3/2024,4211.4,PayPal
150,150,6/12/2024,1052.46,Bank Transfer
151,151,11/11/2024,1070.45,Credit Card
152,152,11/9/2024,2655.48,Bank Transfer
153,153,2/9/2024,1777.08,PayPal
154,154,12/20/2023,652.05,Credit Card
155,155,12/1/2023,3548.5,Credit Card
156,156,1/4/2024,232.68,Bank Transfer
157,157,5/17/2024,1064.55,Bank Transfer
158,158,8/31/2024,417.78,PayPal
159,159,9/15/2024,1720.8,Bank Transfer
160,160,2/17/2024,725.62,Bank Transfer
161,161,5/14/2023,67.54,PayPal
162,162,10/21/2024,2712.08,Bank Transfer
163,163,9/5/2024,382.4,Bank Transfer
164,164,12/8/2023,162,PayPal
165,165,4/10/2024,4790.5,Credit Card
166,166,3/6/2024,2105.7,PayPal
167,167,2/25/2024,674.75,Bank Transfer
168,168,11/15/2024,1232.46,Credit Card
169,169,11/11/2024,53.85,Credit Card
170,170,9/19/2024,161.55,PayPal
171,171,2/23/2024,953.36,Bank Transfer
172,172,8/31/2023,404.85,PayPal
173,173,7/16/2024,4108.2,Credit Card
174,174,7/13/2024,4457.9,Credit Card
175,175,5/1/2024,2425.68,Credit Card
176,176,11/10/2023,1839.15,Credit Card
177,177,1/29/2024,2133.84,Bank Transfer
178,178,2/10/2024,602.1,Credit Card
179,179,8/23/2024,1485.78,Bank Transfer
180,180,6/19/2024,801.44,Credit Card
181,181,6/13/2024,1001,Bank Transfer
182,182,11/22/2024,2539.67,Bank Transfer
183,183,9/18/2024,490.84,Credit Card
184,184,6/14/2024,279.81,PayPal
185,185,11/20/2024,581.7,PayPal
186,186,1/19/2024,2383.4,Bank Transfer
187,187,7/24/2024,2234.4,Credit Card
188,188,10/30/2023,1168.86,Bank Transfer
189,189,3/6/2024,35.25,PayPal
190,190,8/7/2023,4042.8,Bank Transfer
191,191,10/7/2024,1489.6,PayPal
192,192,11/22/2024,2552.32,Bank Transfer
193,193,6/21/2023,2871.36,Bank Transfer
194,194,9/3/2024,742.91,PayPal
195,195,4/24/2024,636.35,Credit Card
196,196,9/25/2024,759.24,Bank Transfer
197,197,11/26/2024,1915.06,Credit Card
198,198,2/19/2024,634.24,Bank Transfer
199,199,12/5/2024,3638.52,Bank Transfer
200,200,3/5/2024,3448.8,Credit Card
201,201,11/3/2024,1117.2,Credit Card
202,202,8/8/2024,2122.29,Credit Card
203,203,8/13/2024,365.14,Credit Card
204,204,7/18/2024,148.7,PayPal
205,205,6/20/2024,1150.98,Bank Transfer
206,206,7/13/2023,1754.1,PayPal
207,207,4/27/2024,502.77,Bank Transfer
208,208,10/21/2024,2464.92,Credit Card
209,209,11/10/2024,935.22,PayPal
210,210,10/28/2024,242.19,Bank Transfer
211,211,11/2/2024,168,Credit Card
212,212,8/23/2024,91.32,Bank Transfer
213,213,5/2/2024,1011.24,Bank Transfer
214,214,12/6/2024,2003.3,Credit Card
215,215,9/16/2024,1612.45,PayPal
216,216,9/25/2023,1907.22,Bank Transfer
217,217,11/11/2024,1232.46,PayPal
218,218,9/24/2024,1613.52,Credit Card
219,219,11/10/2023,408.7,Bank Transfer
220,220,2/25/2024,595.84,Credit Card
221,221,3/16/2024,1363.67,PayPal
222,222,11/30/2024,2612.47,Credit Card
223,223,10/17/2024,951.36,Bank Transfer
224,224,1/5/2024,1226.1,Bank Transfer
225,225,11/27/2024,236.39,PayPal
226,226,9/27/2024,1684.56,Credit Card
227,227,7/21/2024,541.59,Credit Card
228,228,11/10/2024,670.36,Credit Card
229,229,2/16/2024,230.4,Credit Card
230,230,10/11/2023,379.62,PayPal
231,231,11/23/2024,1389.05,Bank Transfer
232,232,8/26/2024,1733.6,Credit Card
233,233,7/20/2023,141,PayPal
234,234,11/27/2024,618.66,Credit Card
235,235,10/16/2024,3690.6,Credit Card
236,236,11/11/2024,33.77,Bank Transfer
237,237,11/30/2023,473.76,Bank Transfer
238,238,7/29/2024,2425.68,Credit Card
239,239,10/29/2024,1907.22,Credit Card
240,240,8/10/2024,959.15,PayPal
241,241,10/23/2024,455.41,Bank Transfer
242,242,5/9/2024,2986.56,PayPal
243,243,10/18/2023,1777.08,Bank Transfer
244,244,5/2/2023,2176.86,Bank Transfer
245,245,7/27/2023,1498.63,Credit Card
246,246,7/27/2024,4580.8,Credit Card
247,247,4/10/2024,547.65,Bank Transfer
248,248,4/21/2024,157.16,Bank Transfer
249,249,3/6/2023,837.95,Credit Card
250,250,2/18/2024,3011.4,Credit Card
251,251,11/12/2024,2979.2,Credit Card
252,252,11/15/2024,1821.64,Credit Card
253,253,9/18/2023,464.22,Credit Card
254,254,10/21/2024,3278.7,Credit Card
255,255,8/5/2023,613.05,Credit Card
256,256,7/11/2023,1676.07,Bank Transfer
257,257,7/27/2023,953.84,Bank Transfer
258,258,1/20/2024,337.7,Credit Card
259,259,3/30/2024,3033.8,Bank Transfer
260,260,5/18/2024,242.19,Bank Transfer
261,261,2/28/2024,211.5,PayPal
262,262,9/7/2024,3441.6,Bank Transfer
263,263,10/9/2024,645.84,Credit Card
264,264,9/20/2023,1916,Bank Transfer
265,265,2/26/2023,97.48,Credit Card
266,266,3/12/2024,1967.84,PayPal
267,267,9/29/2024,227.58,PayPal
268,268,11/8/2024,1498.63,Bank Transfer
269,269,12/6/2024,2425.68,Credit Card
270,270,10/8/2024,1168.37,Credit Card
271,271,1/28/2023,2483.95,Credit Card
272,272,12/4/2024,618.66,Bank Transfer
273,273,12/1/2024,1289.04,PayPal
274,274,3/3/2024,1745.94,PayPal
275,275,11/27/2024,1879.85,Credit Card
276,276,5/16/2024,281.12,Bank Transfer
277,277,12/4/2024,2823.66,Credit Card
278,278,8/21/2024,194.96,Credit Card
279,279,11/29/2024,1870.44,Credit Card
280,280,1/18/2024,1363.67,Bank Transfer
281,281,9/5/2024,1030.98,Credit Card
282,282,9/23/2024,1052.46,PayPal
283,283,11/13/2024,2244.78,PayPal
284,284,11/2/2024,3187.87,Bank Transfer
285,285,12/5/2024,533.46,Credit Card
286,286,7/17/2024,2952.48,Credit Card
287,287,6/6/2023,400.66,Credit Card
288,288,6/7/2023,891.58,Bank Transfer
289,289,3/16/2024,416.41,Credit Card
290,290,11/28/2023,2073.26,PayPal
291,291,1/1/2024,464.2,Credit Card
292,292,10/2/2024,588,Bank Transfer
293,293,9/12/2024,316.96,Credit Card
294,294,10/4/2024,2735.8,Credit Card
295,295,3/12/2024,1168.37,Credit Card
296,296,5/1/2024,1272.7,PayPal
297,297,10/1/2024,481.68,PayPal
298,298,3/9/2024,324,Bank Transfer
299,299,9/26/2024,351.51,PayPal
300,300,9/28/2024,1819.9,Bank Transfer
301,301,11/26/2024,1718.3,Credit Card
302,302,7/4/2024,246.75,PayPal
303,303,11/15/2024,919.32,Credit Card
304,304,9/27/2024,141,PayPal
305,305,11/18/2024,2361.5,Bank Transfer
306,306,7/10/2024,2395.25,Bank Transfer
307,307,11/30/2024,634.24,PayPal
308,308,7/30/2023,3353.35,Bank Transfer
309,309,10/18/2024,773.7,PayPal
310,310,6/29/2023,300.54,Bank Transfer
311,311,9/29/2024,1083.78,PayPal
312,312,11/22/2024,966.78,PayPal
313,313,5/31/2024,476.68,Credit Card
314,314,9/27/2024,2748.48,Credit Card
315,315,7/15/2024,2657.34,Bank Transfer
316,316,7/10/2024,500.73,PayPal
317,317,7/17/2024,3456.45,PayPal
318,318,11/18/2024,135.08,Bank Transfer
319,319,6/7/2024,2622.96,Bank Transfer
320,320,8/20/2024,4554.1,Credit Card
321,321,12/5/2024,2105.7,PayPal
322,322,5/10/2024,800.8,PayPal
323,323,11/3/2024,910.32,Credit Card
324,324,11/25/2023,931.15,PayPal
325,325,10/22/2023,372.46,PayPal
326,326,5/28/2024,1018.16,Credit Card
327,327,3/2/2024,594.8,PayPal
328,328,5/12/2024,1489.6,PayPal
329,329,4/24/2024,670.36,PayPal
330,330,10/25/2024,1658.16,Credit Card
331,331,1/30/2024,191.83,Credit Card
332,332,11/19/2024,766.4,Credit Card
333,333,9/8/2024,116.34,Credit Card
334,334,3/19/2024,618.96,PayPal
335,335,4/25/2024,1508.31,Bank Transfer
336,336,11/24/2024,766.71,Credit Card
337,337,7/10/2023,800.8,Bank Transfer
338,338,11/18/2024,1082.48,Bank Transfer
339,339,8/30/2024,154.64,Bank Transfer
340,340,3/26/2023,2176.86,Credit Card
341,341,6/2/2024,1870.44,Credit Card
342,342,2/9/2024,1399.05,PayPal
343,343,9/26/2024,1095.42,PayPal
344,344,11/26/2023,46.42,Credit Card
345,345,7/4/2024,1419.4,Credit Card
346,346,6/18/2024,698.04,Bank Transfer
347,347,11/5/2024,4090.05,Credit Card
348,348,11/11/2024,990.52,Bank Transfer
349,349,5/6/2024,1907.22,Bank Transfer
350,350,11/5/2024,2176.86,Credit Card
351,351,8/27/2024,1916,Bank Transfer
352,352,6/19/2024,4042.8,Credit Card
353,353,5/28/2024,3280.86,Credit Card
354,354,5/7/2024,43.3,PayPal
355,355,6/1/2024,2583.42,Credit Card
356,356,7/9/2024,76.48,Bank Transfer
357,357,12/15/2023,927.99,Credit Card
358,358,11/18/2024,232.1,Credit Card
359,359,6/27/2024,2682.4,PayPal
360,360,9/17/2024,2151,Credit Card
361,361,8/7/2024,1083.78,Credit Card
362,362,4/6/2024,2313.6,PayPal
363,363,11/29/2024,205.66,Credit Card
364,364,9/24/2024,33.77,Credit Card
365,365,6/16/2024,1054.53,Bank Transfer
366,366,10/24/2024,2732.46,PayPal
367,367,11/13/2024,2911.84,Bank Transfer
368,368,12/10/2023,1745.94,Bank Transfer
369,369,9/28/2024,2212.9,Credit Card
370,370,8/30/2024,303.1,Credit Card
371,371,1/10/2024,266.73,Credit Card
372,372,8/21/2024,1665.64,Bank Transfer
373,373,12/1/2024,766.71,Bank Transfer
374,374,7/4/2024,997.68,Credit Card
375,375,2/21/2024,384.21,Bank Transfer
376,376,7/14/2023,228.3,Credit Card
377,377,9/12/2023,1232.46,Credit Card
378,378,11/10/2024,410.94,Credit Card
379,379,10/4/2024,246.75,PayPal
380,380,12/25/2023,267.68,Bank Transfer
381,381,11/3/2024,748.26,PayPal
382,382,9/30/2024,97.2,Credit Card
383,383,8/8/2023,1489.84,PayPal
384,384,6/17/2024,297.4,PayPal
385,385,7/27/2023,464.2,PayPal
386,386,11/24/2024,384.21,PayPal
387,387,9/13/2024,727.96,Credit Card
388,388,6/20/2023,1374.64,PayPal
389,389,9/28/2023,1492.84,Bank Transfer
390,390,11/27/2024,3273.27,PayPal
391,391,12/5/2024,1277.99,Bank Transfer
392,392,4/30/2023,2581.2,PayPal
393,393,1/22/2024,1143.31,Credit Card
394,394,11/4/2023,3466.82,Credit Card
395,395,5/6/2024,143.6,Bank Transfer
396,396,4/26/2024,481.68,PayPal
397,397,4/8/2024,433,Credit Card
398,398,5/17/2023,212.21,PayPal
399,399,6/24/2024,1040.9,Bank Transfer
400,400,8/17/2023,46.42,Credit Card
401,401,12/4/2023,1374.64,PayPal
402,402,11/12/2024,88.14,Bank Transfer
403,403,11/23/2024,3441.6,Credit Card
404,404,9/11/2024,305.92,PayPal
405,405,11/29/2024,1017.03,PayPal
406,406,6/15/2024,1489.6,Credit Card
407,407,6/25/2024,2373.07,Bank Transfer
408,408,3/29/2023,682.74,Credit Card
409,409,6/10/2024,2838.8,PayPal
410,410,11/28/2024,550.06,Credit Card
411,411,11/4/2024,860.4,PayPal
412,412,7/18/2024,1866.05,PayPal
413,413,7/12/2024,1306.64,Credit Card
414,414,4/18/2023,2583.42,Bank Transfer
415,415,9/18/2024,1967.84,Credit Card
416,416,1/3/2024,1168.86,PayPal
417,417,6/9/2024,389.92,PayPal
418,418,11/20/2024,885.16,Credit Card
419,419,9/14/2024,319.62,Credit Card
420,420,12/26/2023,420,Bank Transfer
421,421,12/3/2023,214.09,Credit Card
422,422,3/17/2024,526.23,PayPal
423,423,10/8/2024,1437.15,Bank Transfer
424,424,5/11/2024,2829.96,Bank Transfer
425,425,9/22/2024,821.64,PayPal
426,426,8/29/2023,475.68,Credit Card
427,427,11/19/2024,158.48,PayPal
428,428,3/31/2024,2054.1,PayPal
429,429,11/8/2024,4544.5,Bank Transfer
430,430,9/28/2024,1179.05,Bank Transfer
431,431,11/5/2024,703.02,Bank Transfer
432,432,2/13/2024,3566.32,PayPal
433,433,10/5/2024,642.27,PayPal
434,434,6/4/2023,585.85,PayPal
435,435,12/1/2023,1845.3,PayPal
436,436,4/26/2024,1948.1,PayPal
437,437,12/1/2024,729.08,Bank Transfer
438,438,9/3/2024,3540.64,PayPal
439,439,11/24/2023,3353.35,PayPal
440,440,2/15/2024,392.9,Bank Transfer
441,441,10/5/2023,3747.69,Bank Transfer
442,442,11/21/2024,146.22,Bank Transfer
443,443,11/17/2024,700.7,Credit Card
444,444,11/28/2024,297.4,PayPal
445,445,5/21/2024,561.8,Credit Card
446,446,12/3/2024,1083.78,PayPal
447,447,1/28/2024,592.36,Bank Transfer
448,448,2/12/2023,269.7,Credit Card
449,449,9/21/2024,1948.1,PayPal
450,450,2/29/2024,293.8,PayPal
451,451,6/12/2024,1001.46,Bank Transfer
452,452,11/28/2024,645.84,Credit Card
453,453,10/27/2024,344.16,Bank Transfer
454,454,7/9/2024,768.1,Credit Card
455,455,6/21/2024,1726.47,Bank Transfer
456,456,11/17/2024,1665.64,Credit Card
457,457,11/24/2023,490.84,Bank Transfer
458,458,9/11/2023,4090.05,PayPal
459,459,2/3/2024,479.05,Bank Transfer
460,460,5/15/2024,143.6,Bank Transfer
461,461,1/15/2024,32.4,Bank Transfer
462,462,9/9/2024,933.76,Credit Card
463,463,10/6/2024,1503.88,PayPal
464,464,11/22/2024,91.32,Credit Card
465,465,10/20/2023,2239.26,Credit Card
466,466,7/24/2024,3200.75,Credit Card
467,467,11/1/2024,1658.16,Bank Transfer
468,468,10/26/2024,1634.8,Credit Card
469,469,6/21/2023,379.62,PayPal
470,470,5/12/2023,1666.86,Credit Card
471,471,12/26/2023,1536.2,Credit Card
472,472,9/22/2024,509.08,Bank Transfer
473,473,1/24/2024,362.81,Bank Transfer
474,474,2/6/2024,1054.53,Credit Card
475,475,8/7/2024,2833.8,PayPal
476,476,8/6/2024,559.62,Credit Card
477,477,9/27/2024,324,Bank Transfer
478,478,5/6/2024,2757.96,Bank Transfer
479,479,11/14/2024,701.64,PayPal
480,480,4/15/2024,3747.69,PayPal
481,481,1/21/2024,267.68,Credit Card
482,482,1/4/2024,363.98,Credit Card
483,483,2/1/2024,2829.96,Bank Transfer
484,484,8/24/2024,352.5,PayPal
485,485,9/29/2024,1363.67,PayPal
486,486,6/26/2024,101.31,PayPal
487,487,11/17/2024,1333.65,Bank Transfer
488,488,1/2/2024,2892,PayPal
489,489,12/4/2024,303.93,Bank Transfer
490,490,11/20/2024,2334.4,PayPal
491,491,7/22/2024,1400.64,Credit Card
492,492,6/20/2024,842.94,Bank Transfer
493,493,2/9/2024,2697,Credit Card
494,494,10/2/2024,612.88,PayPal
495,495,9/30/2023,333.82,Credit Card
496,496,9/23/2023,364.54,Credit Card
497,497,10/13/2024,701.64,PayPal
498,498,8/13/2024,236.88,Bank Transfer
499,499,9/22/2024,4122.72,Bank Transfer
500,500,7/25/2024,1031.1,Credit Card
501,501,9/12/2024,1335.28,Bank Transfer
502,502,11/27/2024,464.22,PayPal
503,503,10/1/2024,1502.19,PayPal
504,504,10/10/2024,1127.91,PayPal
505,505,9/19/2024,424.52,Bank Transfer
506,506,7/2/2024,3351.6,Bank Transfer
507,507,12/4/2023,127.27,Bank Transfer
508,508,10/3/2024,1362.3,Credit Card
509,509,10/4/2023,117.17,Bank Transfer
510,510,10/17/2024,1866.6,PayPal
511,511,3/7/2023,1814.05,Credit Card
512,512,10/18/2024,766.4,PayPal
513,513,10/13/2023,1915.06,Credit Card
514,514,8/29/2024,498.84,Credit Card
515,515,10/30/2023,1168.37,PayPal
516,516,6/6/2023,236.39,Credit Card
517,517,10/31/2024,256.14,Credit Card
518,518,10/30/2024,1981.04,Credit Card
519,519,4/13/2024,109.53,PayPal
520,520,11/15/2024,721.77,PayPal
521,521,9/27/2024,129.6,PayPal
522,522,10/16/2024,211.5,Credit Card
523,523,5/27/2024,168.85,PayPal
524,524,12/1/2024,901.62,PayPal
525,525,7/16/2024,682.74,Credit Card
526,526,7/6/2024,594.8,Credit Card
527,527,10/31/2024,293.8,Credit Card
528,528,11/27/2024,1127.91,Credit Card
529,529,11/3/2024,35.9,Credit Card
530,530,9/19/2024,116.34,Bank Transfer
531,531,7/1/2024,2167,Credit Card
532,532,1/26/2024,1578.69,Bank Transfer
533,533,11/30/2024,17.95,Credit Card
534,534,7/23/2024,303.93,Credit Card
535,535,8/5/2024,1024.11,Credit Card
536,536,1/3/2023,281.12,Bank Transfer
537,537,2/25/2024,927.84,Credit Card
538,538,10/9/2024,1403.28,Bank Transfer
539,539,6/8/2024,1399.05,Credit Card
540,540,5/14/2023,1031.1,PayPal
541,541,8/29/2024,2462.22,Credit Card
542,542,8/7/2024,259.2,Credit Card
543,543,10/24/2024,600.6,Credit Card
544,544,5/20/2024,118.17,Credit Card
545,545,11/11/2023,65.65,Bank Transfer
546,546,8/13/2024,182.57,Credit Card
547,547,9/28/2024,1119.96,Bank Transfer
548,548,9/20/2024,834.55,Bank Transfer
549,549,10/21/2024,2043.5,PayPal
550,550,6/23/2023,1184.72,PayPal
551,551,3/21/2024,161.55,PayPal
552,552,1/6/2024,2985.68,Bank Transfer
553,553,12/4/2024,914.5,Bank Transfer
554,554,3/28/2023,947.52,PayPal
555,555,9/4/2024,1469.97,PayPal
556,556,6/28/2024,2003.3,PayPal
557,557,9/25/2023,4164.1,Bank Transfer
558,558,11/28/2024,235.74,Bank Transfer
559,559,2/17/2024,981.68,Credit Card
560,560,11/12/2024,1061.3,PayPal
561,561,9/4/2023,730.28,PayPal
562,562,5/27/2024,2239.26,PayPal
563,563,7/25/2024,176.25,Bank Transfer
564,564,12/1/2023,2361.5,Bank Transfer
565,565,5/20/2024,1774.25,Bank Transfer
566,566,11/10/2024,211.5,PayPal
567,567,1/15/2024,3275.82,Credit Card
568,568,7/9/2024,2892,Credit Card
569,569,11/1/2023,38.24,PayPal
570,570,10/29/2024,2214.36,PayPal
571,571,10/12/2024,2179.68,Bank Transfer
572,572,6/9/2024,490.84,PayPal
573,573,4/28/2024,416.41,PayPal
574,574,11/26/2024,727.96,Credit Card
575,575,7/21/2024,4108.2,PayPal
576,576,10/9/2024,433,Credit Card
577,577,4/6/2024,1284.54,Bank Transfer
578,578,12/6/2024,232.11,Credit Card
579,579,4/6/2024,3466.82,Bank Transfer
580,580,10/6/2024,79.24,PayPal
581,581,9/22/2024,2212.9,PayPal
582,582,5/4/2024,682.74,Bank Transfer
583,583,6/2/2024,1843.2,Bank Transfer
584,584,8/16/2024,291.6,PayPal
585,585,4/30/2024,361.26,Credit Card
586,586,7/15/2024,500.5,PayPal
587,587,3/13/2024,892.2,PayPal
588,588,11/14/2024,2085.44,Bank Transfer
589,589,9/21/2023,1082.48,Credit Card
590,590,10/27/2024,856.36,PayPal
591,591,12/3/2024,3466.82,Credit Card
592,592,8/25/2023,1156.8,PayPal
593,593,11/20/2023,109.53,Bank Transfer
594,594,2/6/2024,2581.2,Bank Transfer
595,595,9/7/2024,335.18,PayPal
596,596,4/2/2024,715.02,PayPal
597,597,6/3/2023,756,Credit Card
598,598,6/26/2024,638.08,Credit Card
599,599,8/29/2024,2823.66,Credit Card
600,600,10/28/2024,1889.2,PayPal
601,601,10/1/2024,981.68,Bank Transfer
602,602,10/18/2023,2735.8,PayPal
603,603,8/23/2024,2979.2,Bank Transfer
604,604,8/30/2024,1498.63,Credit Card
605,605,6/3/2024,135.08,Bank Transfer
606,606,6/18/2024,990.52,PayPal
607,607,11/23/2024,2911.84,PayPal
608,608,8/16/2024,1770.32,PayPal
609,609,3/7/2024,1419.4,PayPal
610,610,11/10/2024,1124.48,PayPal
611,611,11/2/2024,3280.86,Bank Transfer
612,612,10/7/2024,1117.38,Credit Card
613,613,8/7/2024,3120.53,Bank Transfer
614,614,7/22/2023,1909.89,Credit Card
615,615,11/26/2024,1665.64,Bank Transfer
616,616,11/23/2024,125.65,Bank Transfer
617,617,5/12/2024,3724,Bank Transfer
618,618,9/24/2024,782.46,PayPal
619,619,5/26/2024,3234.24,Credit Card
620,620,9/10/2024,230.4,Credit Card
621,621,9/15/2024,29.38,Bank Transfer
622,622,10/30/2024,644.98,PayPal
623,623,8/5/2024,1934.94,Bank Transfer
624,624,10/19/2024,103.11,PayPal
625,625,10/19/2024,1089.84,Bank Transfer
626,626,7/9/2024,1920.25,PayPal
627,627,2/17/2024,1643.28,Bank Transfer
628,628,8/1/2024,322.26,PayPal
629,629,11/2/2024,1109.92,PayPal
630,630,10/29/2024,558.69,PayPal
631,631,4/28/2023,464.2,Bank Transfer
632,632,7/31/2024,1232.46,PayPal
633,633,8/14/2024,1493.28,Bank Transfer
634,634,9/22/2024,1618.2,Bank Transfer
635,635,11/13/2024,2547.86,Credit Card
636,636,12/6/2024,384.21,Credit Card
637,637,7/30/2023,539.4,PayPal
638,638,4/4/2024,1458.16,Credit Card
639,639,10/22/2024,912.85,Bank Transfer
640,640,3/18/2024,1078.8,Bank Transfer
641,641,12/3/2024,314.32,Credit Card
642,642,3/7/2024,2304.3,Credit Card
