order_id,customer_id,product_id,order_date,quantity,total_amount
183,771,66,5/14/2024,4,490.84
184,575,69,5/1/2024,1,279.81
185,1673,28,4/7/2024,5,581.7
186,1610,50,11/9/2023,10,2383.4
187,805,75,5/21/2024,6,2234.4
188,748,21,2/17/2023,6,1168.86
189,234,20,12/16/2022,1,35.25
190,1909,25,7/20/2023,10,4042.8
191,1155,26,9/24/2024,5,1489.6
192,410,92,3/1/2024,8,2552.32
193,1213,92,4/12/2023,9,2871.36
194,1118,65,1/3/2024,7,742.91
195,369,42,12/14/2022,5,636.35
196,1397,37,8/25/2024,2,759.24
197,1573,2,11/26/2024,7,1915.06
198,1127,31,1/6/2024,4,634.24
199,56,25,11/25/2024,9,3638.52
200,1952,53,1/10/2024,9,3448.8
201,1490,75,12/30/2023,3,1117.2
202,946,76,2/3/2023,9,2122.29
203,1932,78,7/7/2024,2,365.14
204,1451,44,2/4/2024,1,148.7
205,430,17,5/9/2023,6,1150.98
206,898,71,12/23/2022,10,1754.1
207,1634,43,1/1/2024,3,502.77
208,597,88,11/1/2023,6,2464.92
209,1703,99,2/27/2024,2,935.22
210,1419,6,3/20/2023,3,242.19
211,142,94,8/3/2024,2,168
212,1678,24,7/18/2024,2,91.32
213,1737,29,6/16/2023,9,1011.24
214,1630,12,11/18/2023,10,2003.3
215,1629,98,5/31/2024,5,1612.45
216,838,18,9/20/2023,7,1907.22
217,1379,88,8/6/2024,3,1232.46
218,1023,51,11/15/2023,4,1613.52
219,286,41,4/15/2023,2,408.7
220,1298,26,6/25/2023,2,595.84
221,621,21,12/27/2023,7,1363.67
222,496,59,11/15/2024,7,2612.47
223,518,31,10/17/2024,6,951.36
224,1349,41,12/24/2023,6,1226.1
225,316,89,11/6/2024,7,236.39
226,1465,86,12/29/2023,4,1684.56
227,867,91,6/13/2024,7,541.59
228,1617,43,2/24/2024,4,670.36
229,773,16,3/25/2023,1,230.4
230,152,37,1/5/2023,1,379.62
231,920,80,1/19/2023,5,1389.05
232,1225,58,8/15/2024,4,1733.6
233,982,20,4/23/2023,4,141
234,1193,34,12/22/2022,6,618.66
235,821,77,8/30/2023,10,3690.6
236,1095,89,7/6/2024,1,33.77
237,1038,7,7/3/2023,2,473.76
238,1892,25,10/7/2023,6,2425.68
239,1885,18,5/7/2024,7,1907.22
240,1782,17,3/8/2024,5,959.15
241,1417,32,8/6/2024,1,455.41
242,857,35,4/20/2024,8,2986.56
243,1114,62,7/17/2023,6,1777.08
244,76,63,1/24/2023,6,2176.86
245,1620,10,3/5/2023,7,1498.63
246,1984,38,6/25/2024,10,4580.8
247,737,55,7/6/2023,5,547.65
248,1437,79,3/12/2023,2,157.16
249,1834,43,1/18/2023,5,837.95
250,1664,5,6/25/2023,7,3011.4
251,1100,75,5/3/2024,8,2979.2
252,1217,32,5/22/2024,4,1821.64
253,1307,91,2/5/2023,6,464.22
254,1873,46,1/15/2024,10,3278.7
255,175,41,5/23/2023,3,613.05
256,224,48,3/2/2023,9,1676.07
257,1575,45,3/13/2023,4,953.84
258,509,89,11/18/2023,10,337.7
259,1347,58,3/8/2023,7,3033.8
260,1362,6,12/10/2022,3,242.19
261,728,20,4/7/2023,6,211.5
262,341,5,1/27/2023,8,3441.6
263,1326,6,6/2/2023,8,645.84
264,1255,53,6/16/2023,5,1916
265,91,15,12/18/2022,2,97.48
266,1154,61,10/5/2023,7,1967.84
267,1322,33,5/6/2024,2,227.58
268,1388,10,4/18/2023,7,1498.63
269,1325,25,12/4/2024,6,2425.68
270,819,54,8/16/2023,7,1168.37
271,1981,40,12/21/2022,7,2483.95
272,1542,34,11/26/2024,6,618.66
273,680,47,11/16/2024,8,1289.04
274,1978,73,8/20/2023,7,1745.94
275,1631,36,11/1/2024,5,1879.85
276,882,61,1/1/2023,1,281.12
277,217,51,4/20/2024,7,2823.66
278,22,15,8/21/2024,4,194.96
279,202,99,11/29/2024,4,1870.44
280,530,21,10/1/2023,7,1363.67
281,455,14,2/11/2024,6,1030.98
282,1046,71,1/21/2024,6,1052.46
283,1530,73,4/7/2024,9,2244.78
284,1063,32,8/17/2024,7,3187.87
285,1143,85,3/21/2024,2,533.46
286,1189,77,1/14/2024,8,2952.48
287,1409,12,1/18/2023,2,400.66
288,1179,82,12/12/2022,2,891.58
289,453,19,12/5/2023,1,416.41
290,913,62,5/6/2023,7,2073.26
291,767,87,6/7/2023,10,464.2
292,802,94,8/10/2024,7,588
293,949,97,9/7/2024,8,316.96
294,1582,2,2/16/2024,10,2735.8
295,1392,54,5/27/2023,7,1168.37
296,1206,42,4/26/2024,10,1272.7
297,1415,4,6/21/2023,4,481.68
298,1025,57,11/3/2023,10,324
299,309,95,8/5/2023,3,351.51
300,707,52,5/21/2024,5,1819.9
301,51,14,10/4/2024,10,1718.3
302,989,20,11/7/2023,7,246.75
303,215,22,6/4/2023,3,919.32
304,606,20,7/6/2024,4,141
305,852,70,2/16/2023,5,2361.5
306,1886,84,3/31/2024,5,2395.25
307,1970,31,10/15/2024,4,634.24
308,176,84,2/13/2023,7,3353.35
309,238,91,4/22/2024,10,773.7
310,1703,81,4/29/2023,3,300.54
311,1927,4,3/5/2024,9,1083.78
312,1496,47,2/12/2023,6,966.78
313,291,50,1/7/2023,2,476.68
314,714,38,4/19/2024,6,2748.48
315,639,37,6/19/2024,7,2657.34
316,703,54,5/21/2024,3,500.73
317,933,72,7/30/2023,9,3456.45
318,1607,89,11/16/2024,4,135.08
319,424,46,8/19/2023,8,2622.96
320,1068,32,7/13/2024,10,4554.1
321,990,86,1/14/2024,5,2105.7
322,714,1,10/18/2023,8,800.8
323,976,33,4/10/2024,8,910.32
324,200,48,8/22/2023,5,931.15
325,898,48,3/7/2023,2,372.46
326,1479,42,1/22/2023,8,1018.16
327,1427,44,2/8/2024,4,594.8
328,927,75,5/16/2023,4,1489.6
329,654,43,1/14/2024,4,670.36
330,138,7,10/6/2024,7,1658.16
331,615,17,4/6/2023,1,191.83
332,92,53,5/30/2024,2,766.4
333,1660,28,8/4/2024,1,116.34
334,1456,91,7/25/2023,8,618.96
335,236,43,11/29/2023,9,1508.31
336,47,55,10/27/2024,7,766.71
337,1740,1,7/2/2023,8,800.8
338,703,64,5/28/2024,7,1082.48
339,1328,64,2/2/2024,1,154.64
340,224,63,2/16/2023,6,2176.86
341,1387,99,9/29/2023,4,1870.44
342,1639,69,11/28/2023,5,1399.05
343,337,78,5/16/2024,6,1095.42
344,1905,87,9/17/2023,1,46.42
345,1517,40,1/8/2023,4,1419.4
346,500,28,2/24/2023,6,698.04
347,1057,30,9/29/2024,9,4090.05
348,358,83,7/12/2024,2,990.52
349,1131,18,2/7/2023,7,1907.22
350,328,63,9/27/2024,6,2176.86
351,678,53,8/9/2024,5,1916
352,1147,25,6/11/2024,10,4042.8
353,874,74,1/21/2023,9,3280.86
354,1963,93,12/6/2023,1,43.3
355,947,77,3/2/2024,7,2583.42
356,475,8,12/1/2023,2,76.48
357,1634,34,7/2/2023,9,927.99
358,830,87,11/17/2024,5,232.1
359,1290,53,2/27/2023,7,2682.4
360,378,5,5/13/2024,5,2151
361,382,4,8/4/2024,9,1083.78
362,1312,67,11/17/2023,8,2313.6
363,1347,23,7/18/2024,7,205.66
364,886,89,2/20/2023,1,33.77
365,811,95,6/23/2023,9,1054.53
366,60,32,11/1/2023,6,2732.46
367,1511,52,10/19/2024,8,2911.84
368,1258,73,10/2/2023,7,1745.94
369,1809,49,9/2/2024,5,2212.9
370,405,93,3/19/2024,7,303.1
371,921,85,11/17/2023,1,266.73
372,1213,19,3/26/2024,4,1665.64
373,880,55,11/21/2024,7,766.71
374,797,73,5/8/2023,4,997.68
375,10,3,7/21/2023,3,384.21
376,1444,24,5/3/2023,5,228.3
377,440,88,5/24/2023,3,1232.46
378,422,24,8/6/2024,9,410.94
379,571,20,10/6/2023,7,246.75
380,1541,8,12/19/2022,7,267.68
381,1442,73,7/25/2023,3,748.26
382,1657,57,4/11/2024,3,97.2
383,1631,48,4/2/2023,8,1489.84
384,129,44,2/12/2024,2,297.4
385,1183,87,4/3/2023,10,464.2
386,209,3,11/6/2024,3,384.21
387,1638,52,6/26/2023,2,727.96
388,1786,14,5/26/2023,8,1374.64
389,1100,59,5/27/2023,4,1492.84
390,383,99,11/4/2024,7,3273.27
391,750,78,2/26/2024,7,1277.99
392,668,5,1/7/2023,6,2581.2
393,404,56,8/6/2023,7,1143.31
394,938,83,10/25/2023,7,3466.82
395,234,60,9/12/2023,8,143.6
396,538,4,6/4/2023,4,481.68
397,1374,93,1/9/2023,10,433
398,1767,9,2/8/2023,1,212.21
399,1003,44,2/22/2024,7,1040.9
400,1081,87,6/29/2023,1,46.42
401,1979,14,9/23/2023,8,1374.64
402,1309,23,10/19/2023,3,88.14
403,642,5,4/11/2023,8,3441.6
404,1223,8,8/22/2024,8,305.92
405,796,27,11/25/2024,3,1017.03
406,1252,75,7/23/2023,4,1489.6
407,804,27,4/4/2023,7,2373.07
408,1203,33,2/6/2023,6,682.74
409,234,40,4/27/2024,8,2838.8
410,713,79,9/10/2023,7,550.06
411,721,5,1/14/2023,2,860.4
412,1732,59,6/8/2024,5,1866.05
413,938,56,11/9/2023,8,1306.64
414,1265,77,12/19/2022,7,2583.42
415,354,61,3/29/2024,7,1967.84
416,1667,21,1/4/2023,6,1168.86
417,1380,15,6/1/2024,8,389.92
418,1446,49,11/4/2024,2,885.16
419,1640,24,6/5/2024,7,319.62
420,610,94,9/4/2023,5,420
421,1882,10,11/25/2023,1,214.09
422,1259,71,9/8/2023,3,526.23
423,1209,84,6/18/2024,3,1437.15
424,174,25,2/6/2024,7,2829.96
425,1377,88,9/17/2024,2,821.64
426,275,31,1/6/2023,3,475.68
427,642,97,9/25/2023,4,158.48
428,242,88,11/18/2023,5,2054.1
429,489,30,1/31/2024,10,4544.5
430,626,76,9/15/2024,5,1179.05
431,240,95,10/17/2024,6,703.02
432,375,82,10/9/2023,8,3566.32
433,765,10,7/21/2023,3,642.27
434,1421,95,12/19/2022,5,585.85
435,290,77,2/5/2023,5,1845.3
436,1047,21,4/22/2024,10,1948.1
437,796,74,11/23/2024,2,729.08
438,857,49,8/4/2024,8,3540.64
439,1222,84,6/7/2023,7,3353.35
440,283,79,11/29/2023,5,392.9
441,1178,19,5/5/2023,9,3747.69
442,786,15,12/11/2023,3,146.22
443,867,1,5/3/2023,7,700.7
444,381,44,12/28/2022,2,297.4
445,997,29,6/24/2023,5,561.8
446,1302,4,11/17/2024,9,1083.78
447,1101,62,3/3/2023,2,592.36
448,1421,11,12/16/2022,1,269.7
449,1883,21,9/13/2024,10,1948.1
450,1322,23,1/14/2024,10,293.8
451,1907,54,6/15/2023,6,1001.46
452,355,6,9/8/2024,8,645.84
453,1137,8,4/6/2024,9,344.16
454,342,72,6/1/2023,2,768.1
455,1003,17,12/30/2023,9,1726.47
456,592,19,5/3/2024,4,1665.64
457,288,66,1/6/2023,4,490.84
458,384,30,6/5/2023,9,4090.05
459,645,84,1/1/2023,1,479.05
460,1725,60,9/26/2023,8,143.6
461,924,57,7/6/2023,1,32.4
462,1269,96,9/15/2023,4,933.76
463,110,36,1/2/2024,4,1503.88
464,1773,24,7/19/2024,2,91.32
465,736,59,8/4/2023,6,2239.26
466,1950,100,8/28/2023,7,3200.75
467,20,7,8/24/2023,7,1658.16
468,993,41,10/15/2024,8,1634.8
469,280,37,1/14/2023,1,379.62
470,400,80,12/20/2022,6,1666.86
471,1670,72,10/21/2023,4,1536.2
472,787,42,7/6/2023,4,509.08
473,1974,63,3/11/2023,1,362.81
474,1151,95,6/25/2023,9,1054.53
475,1036,70,2/23/2024,6,2833.8
476,1338,69,1/19/2024,2,559.62
477,1014,57,5/20/2024,10,324
478,838,22,4/3/2024,9,2757.96
479,1403,71,11/11/2024,4,701.64
480,1008,19,12/11/2023,9,3747.69
481,852,8,1/7/2024,7,267.68
482,1455,52,6/26/2023,1,363.98
483,1721,25,1/29/2023,7,2829.96
484,910,20,7/25/2023,10,352.5
485,1001,21,10/21/2023,7,1363.67
486,343,89,5/12/2024,3,101.31
487,170,85,11/9/2024,5,1333.65
488,1158,67,1/1/2024,10,2892
489,64,89,12/2/2024,9,303.93
490,1630,96,10/12/2024,10,2334.4
491,1559,96,4/7/2023,6,1400.64
492,452,4,3/5/2023,7,842.94
493,599,11,2/6/2023,10,2697
494,67,22,7/23/2024,2,612.88
495,563,54,9/11/2023,2,333.82
496,461,74,8/21/2023,1,364.54
497,1102,71,8/23/2024,4,701.64
498,592,7,2/1/2023,1,236.88
499,345,38,3/1/2024,9,4122.72
500,1599,34,4/19/2024,10,1031.1
501,937,54,2/8/2024,8,1335.28
502,1159,91,2/19/2023,6,464.22
503,1521,54,5/13/2023,9,1502.19
504,1583,47,9/6/2024,7,1127.91
505,1569,65,5/28/2023,4,424.52
506,1015,75,3/21/2023,9,3351.6
507,1126,42,5/16/2023,1,127.27
508,1047,18,3/21/2024,5,1362.3
509,232,95,4/27/2023,1,117.17
510,1173,35,7/18/2024,5,1866.6
511,234,63,2/19/2023,5,1814.05
512,549,53,12/4/2023,2,766.4
513,1588,2,9/27/2023,7,1915.06
514,1113,73,4/20/2023,2,498.84
515,1687,54,5/27/2023,7,1168.37
516,752,89,2/26/2023,7,236.39
517,1111,3,9/22/2024,2,256.14
518,1685,83,10/2/2024,4,1981.04
519,1550,55,9/5/2023,1,109.53
520,86,34,3/13/2023,7,721.77
521,1557,57,4/24/2023,4,129.6
522,1473,20,9/11/2024,6,211.5
523,904,89,5/17/2024,5,168.85
524,1119,81,11/23/2024,9,901.62
525,448,33,5/7/2024,6,682.74
526,871,44,6/30/2024,4,594.8
527,210,23,10/13/2023,10,293.8
528,1508,47,4/20/2024,7,1127.91
529,1700,60,9/23/2024,2,35.9
530,1339,28,9/16/2024,1,116.34
531,1539,58,3/6/2023,5,2167
532,507,71,5/14/2023,9,1578.69
533,610,60,9/8/2023,1,17.95
534,1792,89,10/16/2023,9,303.93
535,67,33,12/15/2022,9,1024.11
536,922,61,12/21/2022,1,281.12
537,539,64,10/3/2023,6,927.84
538,714,71,7/20/2024,8,1403.28
539,1766,69,5/22/2024,5,1399.05
540,1673,34,12/21/2022,10,1031.1
541,179,2,1/2/2024,9,2462.22
542,900,57,12/27/2023,8,259.2
543,1773,1,10/22/2024,6,600.6
544,241,90,10/19/2023,9,118.17
545,1589,90,7/1/2023,5,65.65
546,1663,78,3/1/2024,1,182.57
547,486,35,9/27/2023,3,1119.96
548,430,54,2/7/2024,5,834.55
549,1661,41,1/2/2024,10,2043.5
550,1511,62,4/20/2023,4,1184.72
551,1205,60,2/19/2024,9,161.55
552,1412,59,12/26/2023,8,2985.68
553,719,100,11/30/2023,2,914.5
554,1764,7,1/26/2023,4,947.52
555,1456,56,10/30/2023,9,1469.97
556,1250,12,1/21/2023,10,2003.3
557,1296,19,9/22/2023,10,4164.1
558,877,79,2/17/2024,3,235.74
559,340,66,10/11/2023,8,981.68
560,1262,65,3/3/2024,10,1061.3
561,286,78,4/8/2023,4,730.28
562,1608,59,7/5/2023,6,2239.26
563,424,20,5/7/2024,5,176.25
564,1667,70,11/15/2023,5,2361.5
565,424,40,4/12/2023,5,1774.25
566,1650,20,6/1/2024,6,211.5
567,122,52,4/21/2023,9,3275.82
568,1168,67,3/13/2024,10,2892
569,719,8,3/23/2023,1,38.24
570,1091,77,12/10/2023,6,2214.36
571,576,18,4/6/2023,8,2179.68
572,1223,66,6/1/2024,4,490.84
573,1104,19,3/12/2024,1,416.41
574,345,52,11/9/2024,2,727.96
575,663,88,4/13/2024,10,4108.2
576,1442,93,12/25/2023,10,433
577,600,10,3/19/2023,6,1284.54
578,593,91,11/24/2024,3,232.11
579,1173,83,8/27/2023,7,3466.82
580,548,97,5/29/2023,2,79.24
581,1951,49,7/24/2024,5,2212.9
582,1758,33,12/19/2023,6,682.74
583,1054,16,8/29/2023,8,1843.2
584,1844,57,5/24/2024,9,291.6
585,1392,4,11/30/2023,3,361.26
586,1670,1,6/24/2024,5,500.5
587,196,44,10/30/2023,6,892.2
588,278,26,2/10/2024,7,2085.44
589,1972,64,2/18/2023,7,1082.48
590,1537,10,6/2/2024,4,856.36
591,1610,83,10/4/2024,7,3466.82
592,843,67,8/10/2023,4,1156.8
593,1882,55,3/1/2023,1,109.53
594,122,5,2/25/2023,6,2581.2
595,568,43,2/20/2023,2,335.18
596,1776,50,3/12/2024,3,715.02
597,1344,94,1/18/2023,9,756
598,260,92,9/21/2023,2,638.08
599,1437,51,12/11/2023,7,2823.66
600,1774,70,3/15/2024,4,1889.2
601,272,66,8/13/2024,8,981.68
602,512,2,6/5/2023,10,2735.8
603,300,26,3/22/2024,10,2979.2
604,1457,10,7/31/2024,7,1498.63
605,660,89,9/7/2023,4,135.08
606,1697,83,9/22/2023,2,990.52
607,507,52,7/28/2024,8,2911.84
608,1560,49,3/30/2024,4,1770.32
609,1728,40,12/9/2022,4,1419.4
610,1385,61,5/15/2024,4,1124.48
611,805,74,1/14/2024,9,3280.86
612,1003,48,6/21/2023,6,1117.38
613,292,82,4/2/2024,7,3120.53
614,1183,9,3/14/2023,9,1909.89
615,1296,19,3/7/2024,4,1665.64
616,551,60,11/9/2024,7,125.65
617,1286,75,12/28/2023,10,3724
618,849,68,7/15/2024,6,782.46
619,769,25,12/9/2023,8,3234.24
620,926,16,6/18/2024,1,230.4
621,155,23,8/17/2024,1,29.38
622,1298,98,4/20/2023,2,644.98
623,1628,98,8/23/2023,6,1934.94
624,1803,34,1/14/2024,1,103.11
625,1575,18,3/21/2023,4,1089.84
626,191,72,9/8/2023,5,1920.25
627,826,88,9/19/2023,4,1643.28
628,1056,47,10/27/2023,2,322.26
629,1536,31,6/30/2023,7,1109.92
630,570,48,2/26/2024,3,558.69
631,1423,87,3/20/2023,10,464.2
632,1918,88,5/15/2024,3,1232.46
633,1797,35,8/10/2024,4,1493.28
634,756,11,9/19/2024,6,1618.2
635,932,52,10/12/2024,7,2547.86
636,1947,3,7/25/2024,3,384.21
637,1000,11,12/29/2022,2,539.4
638,671,74,9/14/2023,4,1458.16
639,1192,78,4/19/2024,5,912.85
640,6,11,9/28/2023,4,1078.8
641,1780,79,8/21/2024,4,314.32
642,1586,72,2/18/2024,6,2304.3
643,1735,88,2/8/2023,8,3286.56
644,1501,34,8/31/2023,2,206.22
645,191,72,3/10/2024,3,1152.15
646,1497,3,5/27/2023,1,128.07
647,1991,67,5/23/2024,6,1735.2
648,939,57,12/5/2023,8,259.2
649,1301,1,1/3/2024,5,500.5
650,1361,90,11/25/2024,10,131.3
651,1429,16,10/26/2023,3,691.2
652,734,61,1/7/2024,2,562.24
653,1742,1,2/7/2024,4,400.4
654,130,89,11/24/2024,9,303.93
655,1630,66,3/23/2023,7,858.97
656,1095,100,7/7/2024,1,457.25
657,815,93,8/3/2024,7,303.1
658,447,88,1/10/2024,9,3697.38
659,1983,52,10/15/2024,3,1091.94
660,880,63,1/5/2023,9,3265.29
661,1690,14,4/17/2023,10,1718.3
662,434,47,8/25/2023,8,1289.04
663,1014,22,9/15/2024,3,919.32
664,550,6,8/30/2023,9,726.57
665,662,62,2/10/2023,8,2369.44
666,1697,60,9/6/2023,1,17.95
667,581,84,1/22/2023,3,1437.15
668,692,14,10/25/2024,5,859.15
669,1121,93,9/2/2023,6,259.8
670,1184,8,9/24/2024,7,267.68
671,268,61,1/28/2023,5,1405.6
672,1160,37,1/5/2023,6,2277.72
673,1746,8,12/31/2023,4,152.96
674,994,37,10/5/2023,2,759.24
675,1615,29,2/12/2024,1,112.36
676,704,29,4/3/2024,8,898.88
677,1832,55,5/31/2024,7,766.71
678,1398,71,6/4/2023,10,1754.1
679,1562,75,8/24/2024,1,372.4
680,100,48,9/18/2024,8,1489.84
681,95,94,7/7/2024,1,84
682,204,57,10/5/2024,1,32.4
683,1283,77,1/3/2023,10,3690.6
684,1606,49,6/18/2023,7,3098.06
685,1714,58,8/29/2024,1,433.4
686,942,90,2/18/2023,9,118.17
687,34,20,5/24/2024,10,352.5
688,255,83,1/20/2023,7,3466.82
689,1904,38,5/9/2023,8,3664.64
690,1757,53,10/7/2023,5,1916
691,324,11,12/2/2024,5,1348.5
692,904,86,9/21/2023,4,1684.56
693,935,7,7/2/2024,6,1421.28
694,2,42,7/8/2024,10,1272.7
695,1963,9,12/12/2023,4,848.84
696,877,12,1/25/2023,5,1001.65
697,415,5,3/28/2024,6,2581.2
698,1411,74,5/14/2023,8,2916.32
699,1863,1,9/11/2024,2,200.2
700,271,7,7/10/2024,7,1658.16
